winery,wine,year,rating,num_review,region,price,type,grapes
Beso de Vino,Syrah - Garnacha 2019,2019,"3,5",55,España / Aragón / Cariñena,"4,50",Beso de Vino,"Shiraz/Syrah, Garnacha"
Bodegas Care,Cariñena Superior 2019,2019,"4,0",27,España / Aragón / Cariñena,"9,95",Vino tinto,Cariñena
Mas Oller,Syrah de la Muntanya 2019,2019,"4,1",29,España / Cataluña / Empordà,"23,99",Vino tinto,Shiraz/Syrah
Sierra Salinas,MO Monastrell 2018,2018,"3,5",569,España / Valencia / Alicante,"5,75",Vino tinto,100 % de Mourvedre
Tamaral,Crianza 2011,2011,"3,8",520,España / Castilla y León / Ribera del Duero,"16,35",Vino tinto,Tempranillo
Bodegas Valdemar,Conde de Valdemar Rosado 2021,2021,"3,4",34,España / Rioja,"5,18",Vino rosado,100 % de Garnacha
Jean Leon,Merlot - Petit Verdot Penedès 3055 2014,2014,"3,6",478,España / Cataluña / Penedès,"10,95",Vino tinto,100 % de Merlot
Bodega Juan Carlos Sancha,Peña el Gato Garnacha 2019,2019,"3,8",75,España / Rioja,"14,50",Vino tinto,100 % de Garnacha
Contino,Viña del Olivo 2007,2007,"4,3",280,España / Rioja,"64,75",Vino tinto,"Tempranillo, Mazuelo, Graciano"
Altos de Rioja,Altos R Tempranillo 2018,2018,"3,7",160,España / Rioja,"6,95",Vino tinto,100 % de Tempranillo
Castell del Remei,Gotim Bru 2019,2019,"3,8",425,España / Cataluña / Costers del Segre,"7,85",Vino tinto,100 % de Cabernet Sauvignon
Gómez Cruzado,Montes Obarenes Selección Terroir 2018,2018,"4,4",57,España / Rioja,42,Vino blanco,100 % de Viura
Viña Sastre,Regina Vides Ribera del Duero 2014,2014,"4,5",197,España / Castilla y León / Ribera del Duero,"104,90",Vino tinto,100 % de Tempranillo
Cune (CVNE),Reserva Especial 2017,2017,"4,1",33,España / Rioja,"25,89",Vino tinto,"Graciano, Garnacha, Tempranillo, Mazuelo"
Monte Real,Reserva de Familia 2014,2014,"3,9",571,España / Rioja,"8,90",Vino tinto,100 % de Tempranillo
Heras Cordon,Rioja Reserva 2015,2015,"4,1",395,España / Rioja,"14,90",Vino tinto,"90 % de Tempranillo, 5 % de Mazuelo, 5 % de Graciano"
Marqués de Griñon,Graciano 2018,2018,"4,1",36,España / Castilla / Dominio de Valdepusa,"24,50",Vino tinto,100 % de Graciano
Bodega Pirineos,Principio Moristel 2019,2019,"3,9",185,España / Aragón / Somontano,"8,36",Vino tinto,100 % de Moristel
Mesquida Mora,Sincronia Blanc 2018,2018,"3,5",184,España / Islas Baleares / Mallorca,"11,57",Vino blanco,"Girò, Chardonnay, Prensal"
De Moya,María 2019,2019,"3,9",75,España / Valencia,"10,50",Vino tinto,"90 % de Bobal, 10 % de Merlot"
Pago Calzadilla,Classic 2013,2013,"3,9",72,España / Castilla / Pago Calzadilla,"14,90",Vino tinto,"60 % de Tempranillo, 20 % de Cabernet Sauvignon, 10 % de Shiraz/Syrah, 10 % de Garnacha"
Bodegas Cosme Palacio,Glorioso Rioja Reserva 2017,2017,"4,1",200,España / Rioja,"9,75",Vino tinto,100 % de Tempranillo
Castell Miquel,Cuvée Stairway To Heaven 2014,2014,"3,9",85,España / Islas Baleares / Mallorca,"15,37",Vino tinto,"Cabernet Sauvignon, Merlot, Monastrell, Shiraz/Syrah"
Alfredo Arribas,Gotes del Montsant 2018,2018,"4,0",88,España / Cataluña / Tarragona / Montsant,"13,15",Vino tinto,"Grenache, Carignan"
Venus la Universal,Venus 2011,2011,"4,1",151,España / Cataluña / Tarragona / Montsant,"35,90",Vino tinto,100 % de Cariñena
La Maldita,Revolution Garnacha 2019,2019,"4,0",63,España / Rioja,"10,50",Vino tinto,100 % de Garnacha
Valmiñor,Minius Godello 2018,2018,"3,5",48,España / Galicia / Monterrei,"9,95",Vino blanco,100 % de Godello
Casar de Vide,Treixadura 2020,2020,"3,9",30,España / Galicia / Ribeiro,"13,15",Vino blanco,Treixadura
Lustau,Jerez-Xérès-Sherry Río Viejo Oloroso Seco Dry N.V.,9568,"3,7",499,España / Andalucía / Jerez-Xérès-Sherry / Jerez Oloroso,"8,09",Vino fortificado,Palomino
Dominio de Tares,Bembibre Mencía 2016,2016,"4,0",116,España / Castilla y León / Bierzo,"24,95",Vino tinto,100 % de Mencia
Castaño,Santa 2015,2015,"4,0",234,España / Murcia / Yecla,"17,40",Vino tinto,"90 % de Monastrell, 10 % de Garnacha Tintorera"
Primitivo Collantes,Socaire Palomino 2018,2018,"4,0",136,España / Andalucía / Cádiz,"18,25",Vino blanco,Palomino
Cune (CVNE),Gran Reserva 2015,2015,"4,0",2802,España / Rioja,"17,60",Vino tinto,"85 % de Tempranillo, 10 % de Graciano, 5 % de Mazuelo"
Cims de Porrera,Clàssic 2007,2007,"4,1",105,España / Cataluña / Priorato,"44,45",Vino tinto,Carignan
Gramona,Mustillant Blanc N.V.,6916,"3,5",1060,España / Cataluña / Penedès,"6,85",Vino espumoso,100 % de Parellada
Pedralonga,DoUmia Tinto 2017,2017,"3,7",72,España / Galicia / Rías Baixas,"12,40",Vino tinto,"Mencia, Caiño tinto, Espadeiro"
Castaño,Casa Cisca Monastrell 2014,2014,"4,3",311,España / Murcia / Yecla,"35,20",Vino tinto,100 % de Monastrell
Hacienda el Ternero,Torno Crianza 2016,2016,"3,8",99,España / Rioja / Rioja Alta,"8,25",Vino tinto,Tempranillo
Regina Viarum,Godello 2019,2019,"3,7",27,España / Galicia / Ribeira Sacra,"9,50",Vino blanco,Godello
Remelluri,Rioja Blanco 2011,2011,"4,3",124,España / Rioja,"77,90",Vino blanco,Garnacha Blanca
Viladellops,Xarel-lo 2017,2017,"3,5",122,España / Cataluña / Penedès,"18,75",Vino blanco,100 % de Xarel-lo
Adamá Wines,Tinto 2007,2007,"4,4",57,España / Castilla y León / Ribera del Duero,32,Vino tinto,Tempranillo
Coto de Gomariz (María Álvarez Serrano),Abadia de Gomariz 2015,2015,"3,8",50,España / Galicia / Ribeiro,"12,90",Vino tinto,100 % de Mencia
Telmo Rodriguez,LZ Rioja 2020,2020,"3,5",67,España / Rioja,"9,40",Vino tinto,100 % de Tempranillo
Bodegas Amaren,Barrel Fermented White 2018,2018,"4,0",264,España / Rioja,"13,69",Vino blanco,"85 % de Viura, 15 % de Malvasia"
Monte Toro,8 Crianza 2018,2018,"3,6",36,España / Castilla y León / Toro,"8,65",Vino tinto,Tempranillo
